Cidades Brasileiras,,,,,,,,
Fonte: https://www.kaggle.com/crisparada/brazilian-cities/downloads/brazilian-cities.zip/6,,,,,,,,
,,,,,,,,
Município,Estado,IBGE_1-4,IDHM,IDHM_Renda,IDHM_Educacao,GDP_CAPITA,COMP_P,Valor Vazio
São João Do Ivaí,PR,416,0.693,0.677,0.611,21861.93,12,0
Coari,AM,4349,0.586,0.606,0.425,13520.93,11,0
Iguatemi,MS,696,0.662,0.671,0.53,25344.6,13,0
Mauriti,CE,1559,0.605,0.544,0.526,7289.23,55,0
Itororó,BA,1139,0.594,0.598,0.474,10216.62,33,0
Frederico Westphalen,RS,1151,0.76,0.754,0.688,32230.6,32,0
Alto Garças,MT,537,0.701,0.707,0.583,51515.18,7,0
Corbélia,PR,752,0.738,0.728,0.683,35649.25,17,0
Pedro Canário,ES,1503,0.654,0.643,0.536,11041.42,22,0
São João Nepomuceno,MG,1064,0.708,0.696,0.6,14289.5,22,0
São Pedro Do Ivaí,PR,456,0.72,0.702,0.627,24062.21,16,0
Paraíso Do Sul,RS,135,0.68,0.692,0.537,18659.62,15,0
Monte Castelo,SP,128,0.741,0.706,0.709,21414.11,1,0
Ouroeste,SP,364,0.77,0.717,0.736,43578.73,4,0
São João Dos Patos,MA,1446,0.615,0.613,0.522,10157.25,28,0
Tomé-Açu,PA,2715,0.586,0.596,0.424,10518.26,4,0
Mozarlândia,GO,714,0.68,0.684,0.565,30713.58,5,0
Anajatuba,MA,429,0.581,0.523,0.492,6404.32,3,0
Balsa Nova,PR,391,0.696,0.707,0.579,48615.08,10,0
São Bento,MA,1538,0.602,0.525,0.545,9578.17,4,0
Catiguá,SP,325,0.75,0.734,0.676,13450.24,4,0
Corupá,SC,369,0.78,0.768,0.707,24768.34,6,0
Mutum,MG,748,0.644,0.635,0.511,12462.29,17,0
Populina,SP,147,0.71,0.699,0.647,21651.45,2,0
Boquim,SE,989,0.604,0.581,0.492,10818.39,3,0
Quatiguá,PR,301,0.71,0.691,0.655,23746.19,3,0
Nova Glória,GO,261,0.68,0.657,0.589,14062.55,9,0
Três Marias,MG,1481,0.752,0.706,0.695,46355.79,35,0
Paranaíta,MT,333,0.672,0.677,0.555,37331.31,6,0
Sarzedo,MG,1636,0.73,0.706,0.643,25413.31,9,0
Itaúna Do Sul,PR,147,0.66,0.651,0.543,21640.89,2,0
Buriti Bravo,MA,1296,0.59,0.539,0.506,6487.05,28,0
Mombaça,CE,1146,0.58,0.549,0.489,7023.81,43,0
Limoeiro Do Norte,CE,1434,0.682,0.633,0.623,15842.69,46,0
Piacatu,SP,239,0.732,0.681,0.684,17357.2,6,0
Pimenta,MG,322,0.69,0.697,0.556,20934.29,4,0
Tanque Novo,BA,478,0.599,0.583,0.474,7744.27,0,0
Glória De Dourados,MS,406,0.721,0.705,0.648,17352.4,9,0
Murutinga Do Sul,SP,84,0.726,0.703,0.643,13224.34,1,0
Coronel Vivida,PR,749,0.723,0.714,0.653,28680.06,37,0
Codajás,AM,1426,0.563,0.546,0.421,23736.94,0,0
Nova Santa Rita,RS,1181,0.718,0.716,0.606,44796.14,15,0
Fátima Do Sul,MS,838,0.71,0.719,0.621,21019.15,9,0
Cabedelo,PB,3428,0.748,0.782,0.651,37217.38,32,0
Abaeté,MG,856,0.698,0.72,0.556,18250.42,15,0
Bambuí,MG,753,0.741,0.735,0.636,24268.14,14,0
Quixeramobim,CE,2847,0.642,0.592,0.567,11193.37,102,0
Coribe,BA,396,0.6,0.545,0.491,8220.46,1,0
Coaraci,BA,1154,0.613,0.615,0.491,8196.42,33,0
Taiúva,SP,205,0.76,0.732,0.718,17950.69,4,0
Ribeirão Do Pinhal,PR,609,0.701,0.684,0.611,15788.95,8,0
Iconha,ES,336,0.73,0.709,0.658,20787.84,11,0
Siqueira Campos,PR,718,0.7,0.708,0.588,23247.54,19,0
Independência,CE,638,0.632,0.561,0.592,8098.53,3,0
São Joaquim,SC,971,0.687,0.705,0.562,33314.98,34,0
Morro Do Chapéu,BA,1417,0.588,0.554,0.478,8150.34,30,0
Curionópolis,PA,1051,0.636,0.592,0.536,33717.21,15,0
Contenda,PR,423,0.68,0.697,0.555,19401.11,9,0
Augustinópolis,TO,1019,0.67,0.614,0.619,12462.39,7,0
Iporã Do Oeste,SC,115,0.759,0.743,0.695,27449.07,5,0
Laje Do Muriaé,RJ,288,0.67,0.649,0.575,18261.17,11,0
Alto Paraná,PR,616,0.696,0.679,0.587,18476.66,11,0
Amargosa,BA,1387,0.625,0.616,0.492,8892.67,16,0
Macuco,RJ,280,0.703,0.687,0.631,28428.33,4,0
São Mateus Do Maranhão,MA,2268,0.616,0.627,0.515,7493.54,3,0
Campo Maior,PI,1327,0.66,0.629,0.566,11433.99,13,0
Guaçuí,ES,1180,0.703,0.691,0.595,18334.27,17,0
Aramina,SP,205,0.74,0.723,0.656,22763.73,3,0
Goianápolis,GO,538,0.703,0.678,0.62,14700.31,10,0
Ipameri,GO,1035,0.701,0.711,0.588,44237.45,22,0
Engenheiro Caldas,MG,500,0.644,0.632,0.518,9833.78,7,0
Matelândia,PR,670,0.725,0.715,0.642,43049.9,17,0
Camocim,CE,2649,0.62,0.565,0.578,9763.29,14,0
Tanguá,RJ,1511,0.654,0.644,0.548,17195.21,24,0
Floraí,PR,170,0.745,0.739,0.656,30942.98,3,0
Lavínia,SP,182,0.721,0.698,0.655,13460.71,3,0
Humaitá,AM,2322,0.605,0.621,0.451,9430.87,13,0
Wenceslau Braz,PR,870,0.687,0.692,0.594,24319.16,24,0
Brotas De Macaúbas,BA,163,0.57,0.552,0.445,6197.97,20,0
Cidade Ocidental,GO,3889,0.72,0.706,0.641,10694.22,24,0
Camapuã,MS,469,0.703,0.715,0.596,28810.57,17,0
Indiana,SP,180,0.76,0.714,0.733,12159.98,1,0
Barra De São Francisco,ES,1520,0.68,0.673,0.58,18814.93,30,0
Rifaina,SP,137,0.74,0.713,0.69,23947.27,4,0
Pacajá,PA,1188,0.515,0.541,0.338,11447.76,2,0
Urubici,SC,412,0.69,0.722,0.562,23243.66,12,0
Gouveia,MG,360,0.68,0.622,0.609,11423.92,6,0
Gastão Vidigal,SP,214,0.723,0.727,0.635,12848.93,1,0
Otacílio Costa,SC,904,0.74,0.713,0.681,34900.89,10,0
Bonito,MS,992,0.67,0.714,0.508,29857.75,8,0
Três Passos,RS,797,0.768,0.745,0.71,28200.01,33,0
Ataléia,MG,375,0.588,0.592,0.423,10601.65,7,0
Carauari,AM,1729,0.55,0.534,0.416,9371.46,6,0
Rosário Do Sul,RS,1756,0.7,0.705,0.576,21192.99,30,0
Passa Quatro,MG,558,0.715,0.683,0.623,19242.18,21,0
Serrania,MG,370,0.677,0.655,0.569,15407.7,4,0
Bituruna,PR,693,0.667,0.645,0.556,17642.5,18,0
Canarana,MT,909,0.693,0.735,0.549,50430.17,18,0
Terenos,MS,463,0.66,0.651,0.521,22658.51,12,0
Tamboril,CE,875,0.58,0.526,0.476,7577.29,6,0
Maravilha,SC,913,0.78,0.758,0.708,38832.95,35,0
Agrolândia,SC,364,0.725,0.727,0.633,21655.48,14,0
Lábrea,AM,2119,0.531,0.538,0.374,9841.76,5,0
Colômbia,SP,220,0.71,0.689,0.647,54670.46,3,0
Wagner,BA,378,0.59,0.573,0.479,7474.43,1,0
Chorrochó,BA,179,0.6,0.552,0.503,6183.93,0,0
Ipanema,MG,758,0.693,0.67,0.586,10962.01,7,0
Aracoiaba,CE,821,0.615,0.55,0.556,7289.25,1,0
Pacatuba,CE,4102,0.675,0.605,0.652,11514.38,47,0
Tapiratiba,SP,456,0.75,0.703,0.692,22252.66,15,0
Itagimirim,BA,356,0.634,0.602,0.516,14791.37,1,0
Padre Bernardo,GO,1546,0.65,0.67,0.515,15678.25,7,0
Comodoro,MT,920,0.69,0.687,0.567,28116.37,6,0
Serro,MG,733,0.66,0.65,0.52,10244.46,15,0
Barras,PI,1503,0.595,0.558,0.485,7518.49,16,0
Palmas De Monte Alto,BA,582,0.586,0.561,0.462,6753.27,4,0
Ipecaetá,BA,140,0.55,0.506,0.424,5067.74,2,0
Bicas,MG,607,0.74,0.726,0.667,16009.35,16,0
Trajano De Moraes,RJ,283,0.667,0.668,0.547,18295.19,1,0
Vianópolis,GO,477,0.71,0.71,0.622,27534.21,11,0
São João Do Paraíso,MG,622,0.615,0.583,0.493,8051.18,8,0
Sapucaia,RJ,660,0.675,0.682,0.561,47111.47,8,0
Ipaussu,SP,731,0.727,0.713,0.65,25058.43,11,0
Alegre,ES,975,0.721,0.708,0.63,15145.44,38,0
Turvo,SC,342,0.74,0.742,0.631,39153.11,13,0
Alterosa,MG,511,0.67,0.657,0.536,14678.61,8,0
Sobradinho,BA,1332,0.631,0.605,0.555,16272.83,23,0
João Neiva,ES,627,0.753,0.751,0.663,20065.87,10,0
Deodápolis,MS,611,0.69,0.693,0.595,19328.24,10,0
Bela Vista,MS,868,0.698,0.699,0.585,19855.9,11,0
Presidente Médici,RO,752,0.664,0.671,0.55,17380.72,5,0
Rondon,PR,370,0.713,0.724,0.61,28183.56,10,0
Barra Do Bugres,MT,1789,0.693,0.684,0.595,35540,23,0
Getúlio Vargas,RS,582,0.746,0.747,0.658,30200.99,30,0
Barra Do Choça,BA,1501,0.551,0.563,0.386,14575.54,42,0
Itauçu,GO,272,0.718,0.697,0.638,14219.45,8,0
Santa Isabel Do Ivaí,PR,320,0.72,0.697,0.656,19377.3,4,0
Presidente Getúlio,SC,541,0.759,0.764,0.654,30609.65,12,0
Cedro,CE,908,0.627,0.592,0.553,7345.96,6,0
São José Do Cedro,SC,255,0.731,0.753,0.625,27763.08,49,0
Vera Cruz,SP,422,0.754,0.722,0.715,11228.93,13,0
Carutapera,MA,1352,0.574,0.533,0.476,6970.54,1,0
Urbano Santos,MA,1653,0.588,0.506,0.522,5403.47,47,0
São Félix Do Araguaia,MT,397,0.67,0.652,0.538,54972.41,4,0
Marituba,PA,7478,0.68,0.621,0.628,13781.36,28,0
Terra Roxa,PR,641,0.71,0.697,0.639,36596.92,7,0
São Carlos,SC,299,0.769,0.763,0.688,26395.58,12,0
Lajinha,MG,656,0.66,0.659,0.541,15736.28,8,0
Candelária,RS,705,0.674,0.699,0.521,21711.46,19,0
Alta Floresta D'Oeste,RO,869,0.64,0.657,0.526,18732.17,21,0
São João Evangelista,MG,534,0.638,0.62,0.52,10971.27,8,0
Arame,MA,1026,0.512,0.525,0.365,6929.19,34,0
Ouro Verde,SP,392,0.69,0.666,0.612,11853.79,6,0
Corumbaíba,GO,357,0.698,0.703,0.582,48718.78,7,0
Duas Barras,RJ,409,0.659,0.677,0.534,20979.33,14,0
Teolândia,BA,320,0.555,0.541,0.418,9393.52,0,0
Inhapim,MG,696,0.66,0.642,0.535,11693.03,18,0
Luiziânia,SP,248,0.7,0.682,0.623,12438.45,1,0
Paraúna,GO,423,0.672,0.687,0.547,72605.27,9,0
Medina,MG,924,0.624,0.624,0.475,9780.62,10,0
Mãe Do Rio,PA,1808,0.599,0.615,0.458,9737.44,41,0
Pinheiral,RJ,1032,0.715,0.709,0.643,15248.92,23,0
Carmo Do Rio Claro,MG,656,0.733,0.715,0.649,20757.7,12,0
Itiruçu,BA,566,0.6,0.588,0.482,6869.36,11,0
Araguaçu,TO,301,0.675,0.642,0.602,20759.38,7,0
Guajará-Mirim,RO,2521,0.657,0.663,0.519,15732.01,12,0
Realeza,PR,586,0.722,0.72,0.63,33882.73,24,0
Barracão,PR,356,0.706,0.716,0.59,24529.14,10,0
Fortaleza De Minas,MG,151,0.67,0.683,0.546,22730.79,2,0
Águas Belas,PE,1854,0.526,0.546,0.385,7317.75,10,0
Barro Alto,GO,367,0.742,0.701,0.682,77671.72,4,0
Paraíso Do Norte,PR,498,0.746,0.752,0.668,24572.7,11,0
Itaporanga,PB,1153,0.615,0.607,0.517,10174.89,20,0
Águas Formosas,MG,822,0.645,0.624,0.531,11470.47,11,0
Penalva,MA,1285,0.55,0.519,0.472,4530.24,1,0
Santa Rita Do Araguaia,GO,382,0.71,0.703,0.616,18525.75,6,0
Mata De São João,BA,1890,0.67,0.648,0.562,22498.15,36,0
Paço Do Lumiar,MA,5782,0.72,0.646,0.739,6672,74,0
Itapemirim,ES,1128,0.654,0.64,0.54,57370.27,11,0
Inhaúma,MG,194,0.7,0.657,0.624,15202.14,7,0
Campina Verde,MG,635,0.7,0.714,0.562,27102.52,13,0
Maués,AM,2351,0.588,0.549,0.464,6481.4,114,0
João Alfredo,PE,885,0.58,0.569,0.466,7053.71,39,0
Oriximiná,PA,3513,0.623,0.599,0.52,25866.74,27,0
Mauá Da Serra,PR,485,0.652,0.661,0.529,27359.35,3,0
Bela Cruz,CE,769,0.623,0.533,0.598,6351.38,42,0
Novo Gama,GO,6741,0.684,0.664,0.567,7501.44,82,0
Miracema Do Tocantins,TO,1220,0.684,0.675,0.579,33388.9,8,0
Capão Do Leão,RS,1340,0.637,0.662,0.48,20054.42,5,0
Recreio,MG,410,0.69,0.668,0.589,8350.64,3,0
Senador La Rocque,MA,703,0.602,0.57,0.515,10561.69,1,0
São Domingos Do Araguaia,PA,1266,0.594,0.629,0.451,10167.63,33,0
Boracéia,SP,218,0.754,0.723,0.685,42757.16,2,0
Divinolândia,SP,287,0.73,0.72,0.645,23550.52,9,0
Rodelas,BA,524,0.632,0.566,0.564,10397.23,12,0
Tombos,MG,356,0.718,0.699,0.607,11158.37,5,0
Cândido Mendes,MA,958,0.561,0.52,0.456,6291.51,0,0
Pimenta Bueno,RO,1799,0.71,0.726,0.613,26493.58,23,0
Santa Cruz De Monte Castelo,PR,289,0.71,0.681,0.633,32354.87,12,0
Campinorte,GO,547,0.688,0.685,0.565,15917.97,8,0
Tamboara,PR,198,0.731,0.679,0.674,20905.58,2,0
Novo Oriente,CE,867,0.605,0.552,0.526,6288.36,27,0
Buri,SP,1049,0.667,0.642,0.578,19528.74,4,0
Encruzilhada,BA,242,0.544,0.533,0.4,9164.87,25,0
Iepê,SP,342,0.736,0.7,0.7,30175.51,4,0
Bonfim,MG,128,0.637,0.669,0.464,12552.7,3,0
Rio Vermelho,MG,350,0.56,0.566,0.389,8255.52,9,0
Cametá,PA,4146,0.58,0.538,0.474,8576.62,131,0
Santa Teresa,ES,505,0.71,0.722,0.604,18035.85,21,0
Nilo Peçanha,BA,237,0.547,0.531,0.404,9083.55,28,0
Santa Luzia Do Paruá,MA,1316,0.599,0.583,0.51,8919.39,38,0
Tapiraí,SP,364,0.68,0.647,0.578,18043.86,8,0
Cajobi,SP,414,0.73,0.714,0.674,14085.49,4,0
Barra Do Turvo,SP,209,0.64,0.625,0.532,10286.62,0,0
Diamantino,MT,1049,0.718,0.714,0.625,104092.58,16,0
Viana,MA,1951,0.618,0.567,0.548,7803.02,7,0
Zé Doca,MA,2366,0.595,0.559,0.505,7489.46,11,0
Flórida Paulista,SP,527,0.715,0.702,0.646,13293.3,7,0
Santa Rita,MA,1051,0.609,0.553,0.551,7324.76,4,0
Monções,SP,75,0.772,0.731,0.773,31663.66,1,0
Luz,MG,716,0.72,0.723,0.63,23429.57,12,0
Perdigão,MG,412,0.703,0.711,0.579,15053.81,9,0
Mirassolândia,SP,172,0.738,0.704,0.69,18210.89,5,0
Itambacuri,MG,815,0.634,0.616,0.527,11018.53,19,0
Monteiro,PB,1258,0.628,0.625,0.558,13599.64,33,0
São Sebastião Do Alto,RJ,237,0.65,0.638,0.536,20795.51,6,0
Céu Azul,PR,426,0.732,0.732,0.659,49181.3,10,0
Marcelândia,MT,472,0.701,0.7,0.604,25172.86,6,0
Itaporã,MS,718,0.654,0.66,0.523,28051.37,18,0
Saúde,BA,530,0.55,0.546,0.442,6210.88,2,0
Alto Piquiri,PR,429,0.68,0.669,0.578,24675.48,6,0
Sengés,PR,1038,0.66,0.658,0.546,23178.86,4,0
Guaraciaba,MG,156,0.623,0.618,0.493,7927.26,1,0
Sombrio,SC,1129,0.728,0.729,0.617,23009.19,15,0
Abadiânia,GO,650,0.69,0.671,0.579,15628.4,11,0
Capetinga,MG,326,0.675,0.68,0.533,17298.5,6,0
Iguatama,MG,288,0.71,0.695,0.616,43341.63,6,0
Caiapônia,GO,589,0.693,0.701,0.588,34636.37,9,0
Rio Brilhante,MS,1504,0.715,0.72,0.59,62114.47,32,0
Urucânia,MG,471,0.633,0.628,0.498,15684.06,2,0
Guapó,GO,620,0.7,0.708,0.58,11896.65,5,0
Santa Quitéria Do Maranhão,MA,1114,0.555,0.49,0.458,6714.31,25,0
Aquiraz,CE,1721,0.64,0.608,0.55,27336.65,19,0
Leopoldo De Bulhões,GO,312,0.659,0.665,0.529,23784.36,7,0
Castilho,SP,744,0.731,0.688,0.686,29524.83,2,0
Amarante Do Maranhão,MA,1281,0.555,0.541,0.441,6997.9,4,0
Serranópolis,GO,306,0.68,0.713,0.551,52079.49,2,0
Alvinópolis,MG,599,0.68,0.651,0.577,17217.97,8,0
Três Barras,SC,1086,0.706,0.677,0.639,47777.57,13,0
Canindé,CE,2892,0.612,0.571,0.526,8309.69,108,0
Palmeiras De Goiás,GO,978,0.698,0.698,0.598,30667.93,20,0
Acopiara,CE,1521,0.595,0.563,0.517,6966.18,5,0
Natividade,RJ,555,0.73,0.707,0.683,16767.72,9,0
Morro Da Fumaça,SC,662,0.738,0.732,0.665,34043.59,24,0
Ibirubá,RS,731,0.765,0.786,0.671,47580.93,26,0
Paula Cândido,MG,237,0.637,0.632,0.497,9303.86,3,0
Santo Antônio,RN,917,0.62,0.595,0.512,8659.29,20,0
Adolfo,SP,149,0.73,0.71,0.648,23911.98,3,0
Oriente,SP,248,0.77,0.717,0.761,15119.42,1,0
Tiros,MG,232,0.68,0.703,0.532,26875.34,4,0
Formosa Do Rio Preto,BA,1011,0.618,0.576,0.536,38416.21,21,0
Cândido Rodrigues,SP,76,0.789,0.747,0.762,31697.4,2,0
Araci,BA,1340,0.534,0.534,0.381,7043.77,12,0
Bragança,PA,5640,0.6,0.589,0.486,8607.7,46,0
Peabiru,PR,536,0.723,0.727,0.629,21718.28,20,0
Uruçuca,BA,971,0.616,0.607,0.507,9145.97,8,0
Agudos Do Sul,PR,103,0.66,0.671,0.543,18512.84,1,0
Vargem Grande,MA,2247,0.542,0.487,0.425,5091.9,3,0
Marmeleiro,PR,474,0.722,0.73,0.613,27679.52,9,0
Lavras Da Mangabeira,CE,1016,0.613,0.576,0.515,7030.18,13,0
Mato Verde,MG,451,0.662,0.604,0.61,8991.72,6,0
Iretama,PR,322,0.665,0.696,0.521,21255.55,9,0
Eugenópolis,MG,378,0.675,0.66,0.551,12668.53,7,0
São Geraldo Do Araguaia,PA,1017,0.595,0.594,0.447,15517.48,4,0
Porciúncula,RJ,728,0.7,0.698,0.606,17507.39,22,0
Presidente Figueiredo,AM,1149,0.647,0.627,0.538,16206.55,4,0
Itinga Do Maranhão,MA,1381,0.63,0.601,0.545,10562.8,21,0
Centralina,MG,515,0.68,0.654,0.558,17990.66,1,0
Santa Terezinha De Goiás,GO,356,0.701,0.647,0.644,13239.96,7,0
Benedito Novo,SC,303,0.74,0.723,0.645,22641.53,28,0
Campinápolis,MT,221,0.54,0.597,0.324,16932.06,11,0
Capinzal,SC,648,0.752,0.742,0.659,35210.55,15,0
Eirunepé,AM,1965,0.563,0.548,0.431,11363.73,8,0
Monte Alegre,RN,687,0.609,0.578,0.507,8555.75,2,0
Vera Cruz,BA,1914,0.645,0.632,0.52,12088.97,18,0
Cascavel,CE,2200,0.65,0.587,0.578,12352.04,16,0
São João Do Rio Do Peixe,PB,338,0.608,0.586,0.49,9378.44,31,0
Santa Maria De Itabira,MG,350,0.648,0.622,0.533,13291.84,6,0
Uruçuí,PI,1125,0.631,0.614,0.516,36777.46,6,0
Correntina,BA,754,0.603,0.575,0.481,33778.3,3,0
Santa Luzia,MA,2089,0.55,0.525,0.452,7851.23,99,0
Califórnia,PR,338,0.722,0.718,0.638,16249.61,7,0
Ribeirão Cascalheira,MT,348,0.67,0.668,0.542,26125.61,13,0
Jequitinhonha,MG,1039,0.615,0.619,0.461,9385.97,6,0
Três De Maio,RS,831,0.759,0.756,0.694,38114.5,40,0
Milagres,BA,452,0.622,0.59,0.518,7834.83,0,0
Narandiba,SP,182,0.718,0.659,0.67,48835.62,4,0
Vera,MT,389,0.68,0.663,0.568,48646.74,3,0
Arenápolis,MT,600,0.7,0.677,0.649,17256.01,14,0
Andaraí,BA,509,0.555,0.54,0.415,6920.19,22,0
Soledade,RS,1207,0.731,0.727,0.625,23916.29,45,0
Nova Veneza,GO,395,0.718,0.671,0.66,17486.15,3,0
Guarda-Mor,MG,225,0.69,0.709,0.558,50102.67,2,0
Itaobim,MG,960,0.629,0.613,0.516,12071.22,11,0
Itajuípe,BA,977,0.599,0.609,0.466,12317.23,18,0
Bom Jesus Do Galho,MG,537,0.623,0.615,0.491,8851.67,1,0
Centenário Do Sul,PR,357,0.67,0.686,0.549,18467.41,8,0
Cantagalo,PR,587,0.635,0.638,0.522,17136.94,2,0
Nova Aurora,PR,438,0.733,0.726,0.642,45658.04,17,0
Maravilhas,MG,301,0.672,0.645,0.558,14420.46,3,0
Pavão,MG,306,0.627,0.599,0.507,8014.75,5,0
Virgem Da Lapa,MG,354,0.61,0.585,0.488,7332.85,11,0
Novo São Joaquim,MT,232,0.649,0.658,0.507,69298.96,3,0
Caçu,GO,524,0.73,0.774,0.599,53694.65,11,0
São Luiz Gonzaga,RS,1428,0.741,0.718,0.664,32129.27,61,0
Nobres,MT,819,0.7,0.675,0.611,35667.87,9,0
Bodocó,PE,930,0.565,0.543,0.445,6302.48,7,0
Santa Maria Madalena,RJ,299,0.67,0.672,0.556,16574.71,7,0
Jaguaruana,CE,999,0.624,0.568,0.548,11031.7,19,0
Britânia,GO,213,0.672,0.692,0.546,17975.85,1,0
Uruana,GO,577,0.703,0.665,0.634,14343.91,5,0
Brejões,BA,289,0.597,0.56,0.49,8513.23,1,0
Boca Do Acre,AM,1644,0.588,0.576,0.455,9115.38,5,0
União Dos Palmares,AL,3226,0.593,0.59,0.462,11990.47,38,0
São Miguel Do Guamá,PA,2702,0.591,0.582,0.471,11652.53,6,0
Ceará-Mirim,RN,2411,0.616,0.599,0.505,10718.21,64,0
São Lourenço Do Oeste,SC,877,0.75,0.748,0.695,34299.24,18,0
Itacarambi,MG,944,0.64,0.593,0.564,9992.05,25,0
Jangada,MT,211,0.63,0.567,0.549,28100.03,8,0
Carlos Chagas,MG,608,0.648,0.641,0.513,17948.79,18,0
Araporã,MG,371,0.708,0.676,0.646,161058.06,0,0
Charqueada,SP,655,0.736,0.72,0.675,16381.07,12,0
Águas De São Pedro,SP,95,0.85,0.849,0.825,41378.02,3,0
Abelardo Luz,SC,616,0.696,0.684,0.578,33982.7,14,0
Castelândia,GO,187,0.701,0.724,0.578,23482.92,3,0
Cafelândia,PR,719,0.748,0.723,0.692,89241.06,14,0
Capinópolis,MG,772,0.723,0.747,0.601,21133.08,9,0
Turiaçu,MA,914,0.561,0.493,0.461,8333.33,0,0
Brejo Da Madre De Deus,PE,2518,0.562,0.581,0.417,6561.15,7,0
Jeceaba,MG,145,0.66,0.629,0.544,112989.28,3,0
Floresta,PE,1511,0.626,0.588,0.538,12356.67,20,0
Guareí,SP,473,0.687,0.692,0.583,13307.71,4,0
Mata Roma,MA,591,0.57,0.483,0.494,6868.65,1,0
Queiroz,SP,142,0.715,0.662,0.681,133036.07,2,0
Governador Celso Ramos,SC,515,0.747,0.737,0.651,19003.35,6,0
Nova Cruz,RN,1551,0.629,0.589,0.537,11902.92,38,0
Brejo,MA,1057,0.562,0.517,0.454,6392.68,52,0
Serra Dourada,BA,415,0.608,0.539,0.537,7516.23,1,0
Cláudia,MT,520,0.7,0.719,0.586,32264.33,9,0
Fonte Boa,AM,1586,0.53,0.518,0.4,7417.66,4,0
Nova Venécia,ES,1630,0.71,0.692,0.621,19002.96,78,0
Forquilhinha,SC,1082,0.753,0.754,0.657,27917.23,26,0
Buritis,RO,1593,0.616,0.65,0.479,15123.8,14,0
São José Do Divino,MG,162,0.66,0.627,0.583,9967.19,1,0
Esperança,PB,1360,0.623,0.598,0.526,12208.76,12,0
Massapê,CE,1649,0.616,0.541,0.554,6015.2,33,0
Planaltino,BA,211,0.57,0.573,0.462,6210.54,15,0
Olindina,BA,853,0.56,0.534,0.403,7213.56,26,0
Edéia,GO,472,0.74,0.755,0.648,58818.79,12,0
Cuité,PB,801,0.591,0.574,0.47,8785.18,7,0
São Gonçalo Do Pará,MG,408,0.69,0.682,0.57,14996.48,10,0
Vila Nova Dos Martírios,MA,538,0.581,0.555,0.491,16509.59,0,0
Nova Prata Do Iguaçu,PR,257,0.716,0.711,0.646,28179.36,6,0
Cássia,MG,667,0.7,0.723,0.576,19249.26,9,0
Solânea,PB,1224,0.595,0.592,0.468,9637.23,48,0
Ribeirão Branco,SP,595,0.639,0.592,0.553,23377.9,15,0
Castelo Do Piauí,PI,660,0.59,0.566,0.473,7869.62,8,0
Aimorés,MG,961,0.684,0.685,0.576,15959.36,30,0
São José Do Egito,PE,1273,0.635,0.602,0.554,8902.44,10,0
Ipiranga,PR,290,0.652,0.684,0.489,26300.79,4,0
São Sebastião Da Grama,SP,337,0.701,0.689,0.609,25448.6,13,0
João Câmara,RN,1507,0.595,0.6,0.484,27173.83,9,0
Amarante,PI,539,0.598,0.574,0.497,7198.74,5,0
Apuí,AM,788,0.637,0.621,0.54,8809.62,5,0
Nova Ponte,MG,656,0.701,0.734,0.562,57177.27,14,0
Guaraí,TO,1282,0.741,0.724,0.67,22271.24,18,0
Cambira,PR,199,0.725,0.702,0.651,23014.14,7,0
Guaimbê,SP,271,0.728,0.675,0.689,12751.97,1,0
São José Da Lapa,MG,957,0.73,0.677,0.679,20394.47,17,0
Corrente,PI,1084,0.642,0.62,0.54,10718.9,8,0
Paulistana,PI,715,0.6,0.596,0.472,10052.53,33,0
Nazário,GO,301,0.71,0.702,0.631,19143.56,5,0
Bom Sucesso,MG,617,0.69,0.68,0.602,17542.65,4,0
Valente,BA,843,0.637,0.623,0.568,7453.19,18,0
Carmo Da Cachoeira,MG,524,0.655,0.672,0.523,19338.22,9,0
Águas De Santa Bárbara,SP,208,0.757,0.744,0.695,26362.59,4,0
Benjamin Constant,AM,1622,0.574,0.526,0.471,6602.92,2,0
Santa Helena,PR,629,0.74,0.738,0.678,33334.01,35,0
Mundo Novo,GO,207,0.634,0.642,0.488,18190.8,1,0
Morretes,PR,367,0.69,0.71,0.544,18312.44,9,0
Mamborê,PR,467,0.72,0.698,0.649,38103.2,15,0
São Felipe,BA,567,0.616,0.565,0.525,8318.56,19,0
Manoel Ribas,PR,366,0.716,0.725,0.628,25990.55,5,0
São José Do Rio Claro,MT,864,0.682,0.689,0.548,33865.26,9,0
Guiratinga,MT,573,0.705,0.677,0.637,25825.95,19,0
Montanha,ES,733,0.667,0.679,0.535,17598.86,29,0
Manicoré,AM,1724,0.58,0.58,0.456,8859.52,39,0
Estiva Gerbi,SP,463,0.74,0.716,0.695,21331.37,2,0
Itatim,BA,674,0.58,0.55,0.459,20524.38,24,0
Coluna,MG,231,0.583,0.59,0.43,9263.96,6,0
Tailândia,PA,5279,0.588,0.583,0.45,8711.62,6,0
Capanema,PR,570,0.706,0.719,0.611,34197.13,16,0
São Francisco De Paula,RS,780,0.685,0.701,0.534,28967.51,20,0
Onda Verde,SP,170,0.738,0.693,0.671,47749.58,3,0
Santo Antônio Do Içá,AM,1513,0.49,0.438,0.353,6887.79,3,0
Tremedal,BA,201,0.528,0.545,0.36,6505.2,2,0
Careiro,AM,886,0.557,0.515,0.431,6543.75,25,0
Barbosa Ferraz,PR,501,0.696,0.667,0.625,16225.81,7,0
Mangueirinha,PR,551,0.688,0.695,0.579,98109.15,10,0
